course,preUni,cgpa,count
UP6481001 BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4.0,1
UP6481002 BACELOR SAINS KOMPUTER (MULTIMEDIA) DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,3
UP6481002 BACELOR SAINS KOMPUTER (MULTIMEDIA) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.67,1
UP6481002 BACELOR SAINS KOMPUTER (MULTIMEDIA) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6481003 BACELOR KEJURUTERAAN PERISIAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.97,1
UP6481003 BACELOR KEJURUTERAAN PERISIAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,12
UP6481004 BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER) DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.75,2
UP6481004 BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER) DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.79,1
UP6481004 BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER) DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.8,1
UP6481004 BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.84,1
UP6521001 BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.97,1
UP6521001 BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.92,1
UP6521001 BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.96,1
UP6521001 BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,1
UP6523001 BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,1
UP6523001 BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.83,1
UP6523001 BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,2
UP6523002 BACELOR KEJURUTERAAN SISTEM KOMPUTER DAN KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6523002 BACELOR KEJURUTERAAN SISTEM KOMPUTER DAN KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,1
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.986,1
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.92,1
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.96,1
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,4
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,文凭(DIPLOMA),3.3110000000000004,1
UP6525001 BACELOR KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,3
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.79,1
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.92,1
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,1
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,文凭(DIPLOMA),3.6,1
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,文凭(DIPLOMA),3.65,1
UP6541001 BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.75,2
UP6541001 BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.92,1
UP6541001 BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.96,1
UP6541001 BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,3
UP6541001 BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.84,1
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.88,1
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,1
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,2
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.58,2
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.59,1
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.0,1
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.92,1
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.25,2
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.33,1
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.34,1
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.42,2
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,2
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.727,1
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.71,1
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.0,1
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.09,1
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.25,1
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.42,2
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.59,1
UP6541005 BACELOR SAINS OPERASI PEMBUATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.33,1
UP6541005 BACELOR SAINS OPERASI PEMBUATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6545001 BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.83,1
UP6545001 BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.92,1
UP6545001 BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.96,2
UP6545001 BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4.0,1
UP6581001 BACELOR SENI BINA LANDSKAP DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.42,1
UP6581001 BACELOR SENI BINA LANDSKAP DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.67,1
UP6581001 BACELOR SENI BINA LANDSKAP DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.83,1
UP6581001 BACELOR SENI BINA LANDSKAP DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.17,1
UP6581001 BACELOR SENI BINA LANDSKAP DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.59,1
UP6581002 BACELOR SAINS SENI BINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.92,1
UP6581002 BACELOR SAINS SENI BINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.42,1
UP6581002 BACELOR SAINS SENI BINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6581002 BACELOR SAINS SENI BINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.67,1
UP6581002 BACELOR SAINS SENI BINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6581002 BACELOR SAINS SENI BINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.83,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.0,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,文凭(DIPLOMA),3.0669999999999997,2
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,文凭(DIPLOMA),3.3930000000000002,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,文凭(DIPLOMA),3.6519999999999997,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,文凭(DIPLOMA),3.83,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,文凭(DIPLOMA),3.84,1
UP6621002 BACELOR SAINS PENGURUSAN PERLADANGAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.17,1
"UP6621003 BACELOR SAINS BIOINDUSTRI (KAMPUS BINTULU, SARAWAK)",大马高等教育文凭 (STPM),2.58,1
"UP6621003 BACELOR SAINS BIOINDUSTRI (KAMPUS BINTULU, SARAWAK)",大马高等教育文凭 (STPM),2.67,1
UP6621004 BACELOR PERTANIAN SAINS TERNAKAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6621005 BACELOR SAINS PERNIAGAANTANI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6622001 BACELOR SAINS HORTIKULTUR DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.33,1
UP6622001 BACELOR SAINS HORTIKULTUR DENGAN KEPUJIAN,文凭(DIPLOMA),3.7,1
"UP6623001 BACELOR SAINS PERHUTANAN DENGAN KEPUJIAN (KAMPUS SERDANG, SELANGOR)",其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.866,1
UP6623003 BACELOR SAINS DAN TEKNOLOGI KAYU DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.17,1
UP6623003 BACELOR SAINS DAN TEKNOLOGI KAYU DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.58,1
UP6623003 BACELOR SAINS DAN TEKNOLOGI KAYU DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.0,1
"UP6624001 BACELOR SAINS AKUAKULTUR DENGAN KEPUJIAN (KAMPUS SERDANG, SELANGOR)",文凭(DIPLOMA),3.25,1
"UP6624001 BACELOR SAINS AKUAKULTUR DENGAN KEPUJIAN (KAMPUS SERDANG, SELANGOR)",文凭(DIPLOMA),3.613,1
UP6640001 DOKTOR PERUBATAN VETERINAR,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.5,1
UP6640001 DOKTOR PERUBATAN VETERINAR,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.92,1
UP6640001 DOKTOR PERUBATAN VETERINAR,其他 (POLITEKNIK/ASASI/A-LEVEL 等),4.0,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),3.84,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),3.85,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),3.96,3
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),4.0,9
UP6640001 DOKTOR PERUBATAN VETERINAR,大马高等教育文凭 (STPM),3.84,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大马高等教育文凭 (STPM),3.92,2
UP6640001 DOKTOR PERUBATAN VETERINAR,文凭(DIPLOMA),3.9619999999999997,1
UP6640001 DOKTOR PERUBATAN VETERINAR,文凭(DIPLOMA),3.97,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.96,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.9730000000000003,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.9989999999999997,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),4.0,4
UP6721001 DOKTOR PERUBATAN,大学预科班 (MATRIKULASI),3.96,1
UP6721001 DOKTOR PERUBATAN,大学预科班 (MATRIKULASI),4.0,6
UP6723001 BACELOR KEJURURAWATAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.09,1
UP6723001 BACELOR KEJURURAWATAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.17,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.96,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,5
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.25,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.33,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6726002 BACELOR SAINS PEMAKANAN DAN KESIHATAN KOMUNITI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,8
UP6762001 BACELOR KAUNSELING DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,1
UP6862001 BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.59,1
UP6862001 BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6862001 BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.84,2
